loan_amnt,emp_length,home_ownership,annual_inc,addr_state
5000,10+ years,RENT,24000,AZ
2500,< 1 year,RENT,30000,GA
2400,10+ years,RENT,12252,IL
10000,10+ years,RENT,49200,CA
3000,1 year,RENT,80000,OR
5000,3 years,RENT,36000,AZ
7000,8 years,RENT,47004,NC
3000,9 years,RENT,48000,CA
5600,4 years,OWN,40000,CA
5375,< 1 year,RENT,15000,TX
6500,5 years,OWN,72000,AZ
12000,10+ years,OWN,75000,CA
9000,< 1 year,RENT,30000,VA
3000,3 years,RENT,15000,IL
10000,3 years,RENT,100000,CA
1000,< 1 year,RENT,28000,MO
10000,4 years,RENT,42000,CA
3600,10+ years,MORTGAGE,110000,CT
6000,1 year,MORTGAGE,84000,UT
9200,6 years,RENT,77385.19,CA
20250,3 years,RENT,43370,TX
21000,10+ years,RENT,105000,FL
10000,10+ years,OWN,50000,TX
10000,5 years,RENT,50000,CA
6000,1 year,RENT,76000,CA
15000,2 years,MORTGAGE,92000,IL
15000,9 years,RENT,60000,NY
5000,2 years,RENT,50004,PA
4000,10+ years,MORTGAGE,106000,FL
8500,< 1 year,RENT,25000,MN
4375,7 years,MORTGAGE,17108,NY
31825,5 years,MORTGAGE,75000,NJ
10000,2 years,RENT,29120,FL
5000,2 years,RENT,24044,OR
7000,7 years,RENT,34000,CA
12400,10+ years,RENT,41000,KY
10800,2 years,RENT,55596,CA
15000,1 year,RENT,45000,OH
6000,1 year,RENT,36852,AZ
12500,1 year,RENT,27000,IL
9600,4 years,RENT,68004,SC
12000,10+ years,RENT,62300,NJ
3000,9 years,MORTGAGE,65000,PA
4400,10+ years,RENT,55000,RI
6000,10+ years,MORTGAGE,45600,LA
14000,6 years,RENT,80000,MA
5000,10+ years,MORTGAGE,100000,OH
10000,6 years,RENT,27000,NY
10000,10+ years,RENT,60000,CT
11000,5 years,RENT,70000,CT
15000,8 years,MORTGAGE,80000,IL
25600,9 years,RENT,110000,CA
7000,< 1 year,RENT,40000,CA
12000,4 years,RENT,50000,CA
12000,1 year,RENT,46000,TX
21000,7 years,RENT,50000,WA
16000,7 years,RENT,81000,MA
10000,< 1 year,OWN,39000,OR
10000,2 years,RENT,51400,TX
7100,1 year,MORTGAGE,33000,TX
13000,< 1 year,MORTGAGE,30000,NJ
17500,6 years,RENT,40000,CA
17675,< 1 year,RENT,50000,WI
8000,< 1 year,RENT,62000,VA
10000,10+ years,RENT,45996,OH
3500,7 years,MORTGAGE,55000,OH
12500,5 years,RENT,30000,MN
16425,4 years,RENT,44544,CA
8200,4 years,RENT,75000,CA
15000,2 years,OWN,61000,FL
20975,5 years,MORTGAGE,44000,GA
6400,5 years,RENT,75000,CA
3000,1 year,RENT,33600,AL
12000,3 years,RENT,50000,MA
14400,< 1 year,OWN,150000,NY
12000,10+ years,RENT,90000,NJ
11000,10+ years,MORTGAGE,48000,TX
7250,< 1 year,RENT,75000,CA
15000,1 year,MORTGAGE,52000,TX
18000,10+ years,MORTGAGE,65000,FL
35000,3 years,MORTGAGE,150000,NY
10000,2 years,RENT,68000,PA
11800,6 years,RENT,42000,NY
4500,4 years,RENT,53000,CA
7000,10+ years,RENT,35000,CA
9200,2 years,RENT,60000,CA
14000,4 years,RENT,28000,WA
4500,< 1 year,MORTGAGE,42000,TX
12000,9 years,RENT,88365,AZ
12000,4 years,RENT,72000,CA
12000,< 1 year,RENT,62000,TX
7000,3 years,MORTGAGE,43680,MN
8200,3 years,RENT,120000,NY
10500,10+ years,RENT,66000,CA
7000,4 years,OWN,39120,FL
15300,6 years,RENT,85000,VA
20000,4 years,MORTGAGE,47800,VA
17500,7 years,MORTGAGE,45000,WA
3500,10+ years,MORTGAGE,83000,IL
6000,< 1 year,RENT,81000,CO
6200,2 years,RENT,25000,CA
16000,7 years,RENT,65000,KS
6000,8 years,OWN,28800,NJ
7200,6 years,RENT,135000,NY
9500,7 years,MORTGAGE,50000,TX
18825,10+ years,RENT,38000,TX
24000,10+ years,RENT,45000,CA
6000,10+ years,RENT,80000,CA
6000,5 years,RENT,50000,AZ
2100,10+ years,MORTGAGE,30000,LA
5500,8 years,MORTGAGE,110000,CT
11000,8 years,OWN,45608,LA
26800,3 years,MORTGAGE,120000,FL
8000,5 years,MORTGAGE,35000,IL
10000,1 year,RENT,75000,CA
8000,9 years,MORTGAGE,35000,NV
10000,6 years,RENT,24000,CA
12000,2 years,MORTGAGE,126000,OH
10000,1 year,RENT,43000,CA
12000,1 year,RENT,50000,CA
25000,10+ years,MORTGAGE,67000,AK
19750,4 years,RENT,45000,OR
10000,3 years,RENT,31200,NY
13650,4 years,RENT,66000,NV
28000,10+ years,RENT,52000,TX
18000,10+ years,RENT,56964,CA
2500,7 years,RENT,49500,FL
21000,10+ years,RENT,70000,CO
35000,6 years,MORTGAGE,125000,CA
10000,3 years,RENT,33000,NJ
7000,< 1 year,RENT,30000,VA
24000,8 years,MORTGAGE,90000,CA
10625,5 years,MORTGAGE,23000,OR
5000,2 years,RENT,24000,PA
8850,10+ years,RENT,62000,MD
6375,4 years,RENT,44000,GA
6000,1 year,RENT,90000,NJ
11100,10+ years,RENT,41000,PA
10000,2 years,MORTGAGE,56000,CA
6200,5 years,MORTGAGE,26500,WV
15000,1 year,RENT,54000,GA
4200,2 years,RENT,53000,MD
14000,4 years,RENT,52800,CA
8875,1 year,MORTGAGE,38000,GA
13500,7 years,RENT,38000,CA
12000,2 years,RENT,42000,MN
16000,4 years,RENT,55000,WA
21600,8 years,MORTGAGE,60000,GA
6000,6 years,MORTGAGE,87000,NJ
8450,5 years,OWN,25000,IL
20000,1 year,RENT,82000,OH
10000,8 years,RENT,60000,CA
12000,5 years,MORTGAGE,80000,GA
13475,10+ years,RENT,25000,CA
7200,5 years,RENT,48000,IL
5600,1 year,MORTGAGE,85000,AZ
12000,< 1 year,RENT,57000,CA
8500,2 years,RENT,25000,MD
8000,2 years,RENT,34000,PA
8000,10+ years,RENT,40000,OR
16000,10+ years,RENT,42656.4,GA
15000,2 years,MORTGAGE,44400,FL
10000,2 years,OWN,30000,VT
10000,5 years,MORTGAGE,70000,NY
8000,3 years,RENT,28000,CA
22000,2 years,MORTGAGE,50000,MI
6000,10+ years,MORTGAGE,94800,TX
16000,10+ years,OWN,40000,FL
2500,n/a,OWN,12000,CA
13500,2 years,MORTGAGE,36000,DC
25000,2 years,RENT,225000,NJ
10000,2 years,RENT,45900,CA
2500,4 years,RENT,27200,WA
7325,1 year,RENT,42000,FL
4000,5 years,RENT,135000,NY
10000,5 years,RENT,65000,CA
7750,< 1 year,RENT,24000,IL
20000,6 years,RENT,70000,FL
9600,10+ years,RENT,65000,NY
21000,3 years,RENT,60000,CA
14000,3 years,RENT,30000,CT
13350,10+ years,RENT,43000,CA
15000,10+ years,RENT,42000,WI
15000,8 years,RENT,75000,CA
11000,10+ years,MORTGAGE,129000,CA
35000,2 years,MORTGAGE,168000,TX
9000,9 years,MORTGAGE,74000,SD
22475,7 years,MORTGAGE,52000,NH
16000,1 year,RENT,58500,IL
13500,5 years,RENT,71000,VA
24000,10+ years,RENT,75000,WA
12000,5 years,RENT,60000,CA
8400,5 years,RENT,87996,NY
28000,5 years,MORTGAGE,140000,NC
14000,10+ years,RENT,66000,VA
12000,8 years,MORTGAGE,70000,NY
25000,10+ years,MORTGAGE,100000,RI
9000,5 years,RENT,50000,NY
13250,4 years,RENT,35000,OH
20000,6 years,RENT,75000,CA
3000,5 years,RENT,71000,WI
7350,10+ years,MORTGAGE,48000,AR
11500,5 years,RENT,36000,FL
13650,10+ years,MORTGAGE,86000,CA
10500,3 years,RENT,30000,CA
12000,2 years,RENT,60000,CA
6000,3 years,RENT,34000,OH
11500,10+ years,MORTGAGE,44200,CA
7000,7 years,MORTGAGE,82000,MD
29500,6 years,MORTGAGE,83000,NM
2000,2 years,RENT,41000,TX
11625,< 1 year,MORTGAGE,36000,KS
15075,10+ years,RENT,35000,TX
5300,1 year,RENT,30000,CT
8200,< 1 year,RENT,40000,PA
12000,9 years,MORTGAGE,105000,TX
8650,4 years,MORTGAGE,45000,FL
21000,10+ years,MORTGAGE,109000,NJ
16000,2 years,RENT,50000,TX
12000,2 years,RENT,83000,CA
9500,< 1 year,MORTGAGE,52500,CA
7400,< 1 year,OWN,25000,AZ
14400,10+ years,MORTGAGE,60000,FL
24250,7 years,MORTGAGE,120000,AZ
7200,3 years,RENT,68000,GA
26000,10+ years,MORTGAGE,53000,NC
7000,6 years,MORTGAGE,69600,WA
4000,< 1 year,RENT,65000,CA
1500,10+ years,MORTGAGE,144000,CA
19600,2 years,RENT,75000,NY
2500,7 years,MORTGAGE,29000,AZ
10000,2 years,RENT,70000,CA
10000,5 years,RENT,45000,OH
4225,5 years,MORTGAGE,55200,WA
3500,7 years,MORTGAGE,61440,CA
12000,10+ years,MORTGAGE,56000,FL
16500,< 1 year,RENT,47000,IL
22000,< 1 year,RENT,55000,WA
12000,1 year,RENT,71000,KS
15600,10+ years,RENT,50000,NY
10800,8 years,RENT,135000,CA
14000,10+ years,MORTGAGE,63000,GA
18825,4 years,MORTGAGE,44000,NY
6000,5 years,MORTGAGE,50000,NM
12000,5 years,RENT,80000,TX
10000,4 years,RENT,45000,WA
8000,2 years,RENT,78000,NY
14125,1 year,RENT,33000,OR
14000,5 years,RENT,62800,WA
13200,3 years,RENT,26400,TX
4000,10+ years,MORTGAGE,80000,NC
